Genes,aTc,W
b0623_4,aTc_0,1.037794253
b0623_4,aTc_2,0.932329603
b0623_4,aTc_4,0.958581632
b0623_4,aTc_6,0.905256544
b0623_4,aTc_8,1.098683536
b0642_1,aTc_0,0.849205616
b0642_1,aTc_2,0.38935285
b0642_1,aTc_4,0.279605809
b0642_1,aTc_6,0.214658591
b0642_1,aTc_8,0.22621688
b0642_2,aTc_0,0.992162506
b0642_2,aTc_2,0.465081275
b0642_2,aTc_4,0.29094253
b0642_2,aTc_6,0.249997305
b0642_2,aTc_8,0.199569651
b0642_3,aTc_0,0.960311456
b0642_3,aTc_2,0.507809849
b0642_3,aTc_4,0.374530218
b0642_3,aTc_6,0.259872857
b0642_3,aTc_8,0.263099059
b0642_4,aTc_0,0.825124203
b0642_4,aTc_2,0.466854647
b0642_4,aTc_4,0.350740137
b0642_4,aTc_6,0.257883932
b0642_4,aTc_8,0.256090097
b0695_1,aTc_0,1.084508209
b0695_1,aTc_2,0.798349683
b0695_1,aTc_4,0.742072454
b0695_1,aTc_6,0.682089271
b0695_1,aTc_8,0.719671873
b0695_2,aTc_0,1.091579904
b0695_2,aTc_2,0.79294713
b0695_2,aTc_4,0.70527711
b0695_2,aTc_6,0.719894296
b0695_2,aTc_8,0.721019247
b0695_3,aTc_0,1.082187405
b0695_3,aTc_2,0.779663708
b0695_3,aTc_4,0.749221185
b0695_3,aTc_6,0.709671841
b0695_3,aTc_8,0.699636832
b0695_4,aTc_0,1.10365401
b0695_4,aTc_2,0.812754271
b0695_4,aTc_4,0.813375074
b0695_4,aTc_6,0.723777088
b0695_4,aTc_8,0.881671742
b0780_1,aTc_0,1.009379582
b0780_1,aTc_2,1.102252005
b0780_1,aTc_4,0.984001001
b0780_1,aTc_6,1.012985976
b0780_1,aTc_8,1.034055503
b0780_2,aTc_0,1.020125231
b0780_2,aTc_2,1.00912245
b0780_2,aTc_4,0.977231471
b0780_2,aTc_6,1.029333225
b0780_2,aTc_8,1.109273618
b0780_3,aTc_0,1.011309436
b0780_3,aTc_2,1.036797094
b0780_3,aTc_4,0.970707008
b0780_3,aTc_6,0.93624426
b0780_3,aTc_8,0.93237406
