Genes,aTc,W
b0623_4,aTc_0,1.035296735
b0623_4,aTc_2,0.9677425
b0623_4,aTc_4,0.941792054
b0623_4,aTc_6,0.942434724
b0623_4,aTc_8,0.921468881
b0642_1,aTc_0,0.964646204
b0642_1,aTc_2,0.93538875
b0642_1,aTc_4,0.585180708
b0642_1,aTc_6,0.514939994
b0642_1,aTc_8,0.46685287
b0642_2,aTc_0,0.944349936
b0642_2,aTc_2,0.765525306
b0642_2,aTc_4,0.637623001
b0642_2,aTc_6,0.559034071
b0642_2,aTc_8,0.519028791
b0642_3,aTc_0,0.992465411
b0642_3,aTc_2,0.653776998
b0642_3,aTc_4,0.489891554
b0642_3,aTc_6,0.443316928
b0642_3,aTc_8,0.426584787
b0642_4,aTc_0,0.932530528
b0642_4,aTc_2,0.514310995
b0642_4,aTc_4,0.471422381
b0642_4,aTc_6,0.483843947
b0642_4,aTc_8,0.468684828
b0695_1,aTc_0,1.074326486
b0695_1,aTc_2,1.062130501
b0695_1,aTc_4,0.850343811
b0695_1,aTc_6,0.805710461
b0695_1,aTc_8,0.785912074
b0695_2,aTc_0,1.0842218
b0695_2,aTc_2,1.007334841
b0695_2,aTc_4,0.85890219
b0695_2,aTc_6,0.816875205
b0695_2,aTc_8,0.836060093
b0695_3,aTc_0,1.052188204
b0695_3,aTc_2,0.867889112
b0695_3,aTc_4,0.815526349
b0695_3,aTc_6,0.789909263
b0695_3,aTc_8,0.791482476
b0695_4,aTc_0,1.104357583
b0695_4,aTc_2,0.896393787
b0695_4,aTc_4,0.819960851
b0695_4,aTc_6,0.805102673
b0695_4,aTc_8,0.814502371
b0780_1,aTc_0,1.037237043
b0780_1,aTc_2,1.022342916
b0780_1,aTc_4,1.034474824
b0780_1,aTc_6,1.026928026
b0780_1,aTc_8,1.003063607
b0780_2,aTc_0,1.008373223
b0780_2,aTc_2,1.059164571
b0780_2,aTc_4,1.013796998
b0780_2,aTc_6,1.028629939
b0780_2,aTc_8,1.032703895
b0780_3,aTc_0,1.008625883
b0780_3,aTc_2,1.093054822
b0780_3,aTc_4,1.023429449
b0780_3,aTc_6,0.981806784
b0780_3,aTc_8,0.957691578
b0780_4,aTc_0,0.988083282
b0780_4,aTc_2,1.078081627
b0780_4,aTc_4,1.002978879
b0780_4,aTc_6,0.993615559
b0780_4,aTc_8,1.033779801
