Genes,aTc,W
b0623_4,aTc_0,1.266443827
b0623_4,aTc_2,1.06296648
b0623_4,aTc_4,0.975070617
b0623_4,aTc_6,0.888573938
b0623_4,aTc_8,1.135387373
b0642_1,aTc_0,0.838261155
b0642_1,aTc_2,0.788486852
b0642_1,aTc_4,0.349487948
b0642_1,aTc_6,0.38837959
b0642_1,aTc_8,0.52841956
b0642_2,aTc_0,0.962475721
b0642_2,aTc_2,0.77064517
b0642_2,aTc_4,0.410167875
b0642_2,aTc_6,0.378590143
b0642_2,aTc_8,0.810726388
b0642_3,aTc_0,0.857283859
b0642_3,aTc_2,0.846509052
b0642_3,aTc_4,0.465947115
b0642_3,aTc_6,0.458586291
b0642_3,aTc_8,0.585786674
b0642_4,aTc_0,1.11058046
b0642_4,aTc_2,0.839784886
b0642_4,aTc_4,0.39304649
b0642_4,aTc_6,0.375701106
b0642_4,aTc_8,0.673248397
b0695_1,aTc_0,0.850727298
b0695_1,aTc_2,0.865727621
b0695_1,aTc_4,0.596748135
b0695_1,aTc_6,0.726219481
b0695_1,aTc_8,1.081353484
b0695_2,aTc_0,0.9147722
b0695_2,aTc_2,0.983411185
b0695_2,aTc_4,0.904836242
b0695_2,aTc_6,0.732457092
b0695_2,aTc_8,0.950826613
b0695_3,aTc_0,0.923831233
b0695_3,aTc_2,0.911019445
b0695_3,aTc_4,0.71391283
b0695_3,aTc_6,0.558018148
b0695_3,aTc_8,1.003561697
b0695_4,aTc_0,0.89717128
b0695_4,aTc_2,0.865527101
b0695_4,aTc_4,1.060573757
b0695_4,aTc_6,0.894710731
b0695_4,aTc_8,0.867399856
b0780_1,aTc_0,0.937860978
b0780_1,aTc_2,0.966315752
b0780_1,aTc_4,1.052942016
b0780_1,aTc_6,0.933574091
b0780_1,aTc_8,1.023396589
b0780_2,aTc_0,0.944785122
b0780_2,aTc_2,0.931156676
b0780_2,aTc_4,0.890290628
b0780_2,aTc_6,0.773677592
b0780_2,aTc_8,0.930534203
b0780_3,aTc_0,0.856958916
b0780_3,aTc_2,1.019389167
b0780_3,aTc_4,0.980079292
b0780_3,aTc_6,0.814908858
b0780_3,aTc_8,0.846718683
b0780_4,aTc_0,0.751745142
b0780_4,aTc_2,0.929119817
b0780_4,aTc_4,0.795311577
b0780_4,aTc_6,0.939974456
b0780_4,aTc_8,0.711610948
b0785_1,aTc_0,0.788674858
b0785_1,aTc_2,0.361879188
b0785_1,aTc_4,1.128444083
b0785_1,aTc_6,1.184217999
