Number,Env,mean,sd,se,ci
22,inspi2,0.903595633,0.018911873,0.009455937,0.873502623
22,inspi2cip,0.873655538,0.014840496,0.007420248,0.850040997
22,inspi2hypoxic,0.910714713,0.010409781,0.00520489,0.894150429
22,inspi2lowmg,0.955589437,0.012161354,0.006080677,0.936238009
23,inspi2,0.916697618,0.017629905,0.008814953,0.888644505
23,inspi2cip,0.88421063,0.023371771,0.011685885,0.847020928
23,inspi2hypoxic,0.929609871,0.016989528,0.008494764,0.902575741
23,inspi2lowmg,0.963441723,0.016358393,0.008179197,0.937411868
24,inspi2,0.918723552,0.027167039,0.01358352,0.875494729
24,inspi2cip,0.889795496,0.00947229,0.004736145,0.874722969
24,inspi2hypoxic,0.936943567,0.022026789,0.011013394,0.90189403
24,inspi2lowmg,0.970019669,0.026361142,0.013180571,0.928073209
25,inspi2,0.92806496,0.006672406,0.003336203,0.917447673
25,inspi2cip,0.892058549,0.027921816,0.013960908,0.847628709
25,inspi2hypoxic,0.938688466,0.009778826,0.004889413,0.923128172
25,inspi2lowmg,0.970755485,0.071584393,0.035792197,0.856848742
26,inspi2,0.94572259,0.006260823,0.003130412,0.935760223
26,inspi2cip,0.897290395,0.022433314,0.011216657,0.861593987
26,inspi2hypoxic,0.939079527,0.00939726,0.00469863,0.924126389
26,inspi2lowmg,0.975631915,0.01853487,0.009267435,0.946138801
27,inspi2,0.950356298,0.005194434,0.002597217,0.942090794
27,inspi2cip,0.90036484,0.014707295,0.007353647,0.876962252
27,inspi2hypoxic,0.9852306,0.005964387,0.002982193,0.975739929
27,inspi2lowmg,0.976334199,0.013176549,0.006588275,0.955367369
28,inspi2,0.951084399,0.012083721,0.006041861,0.931856502
28,inspi2cip,0.901483063,0.034886816,0.017443408,0.845970354
28,inspi2hypoxic,0.986703389,0.003679182,0.001839591,0.98084899
28,inspi2lowmg,0.976697144,0.019442637,0.009721318,0.94575957
29,inspi2,0.958861355,0.005649851,0.002824925,0.949871182
29,inspi2cip,0.901623012,0.029004838,0.014502419,0.855469841
29,inspi2hypoxic,0.992891014,0.006881016,0.003440508,0.981941783
29,inspi2lowmg,0.983675015,0.016581747,0.008290874,0.957289755
30,inspi2,0.966636681,0.00935621,0.004678105,0.951748863
30,inspi2cip,0.912267832,0.016371173,0.008185586,0.886217643
30,inspi2hypoxic,0.993232834,0.008848605,0.004424302,0.979152729
30,inspi2lowmg,0.985099709,0.009313078,0.004656539,0.970280524
31,inspi2,0.968887242,0.008028312,0.004014156,0.956112406
31,inspi2cip,0.914291365,0.010212251,0.005106126,0.898041394
31,inspi2hypoxic,0.999444426,0.009204793,0.004602397,0.984797546
31,inspi2lowmg,0.985303837,0.026646291,0.013323146,0.942903641
32,inspi2,0.971551418,0.008901441,0.00445072,0.957387239
32,inspi2cip,0.915251691,0.010657948,0.005328974,0.898292517
32,inspi2hypoxic,0.999494657,0.01381488,0.00690744,0.977512099
32,inspi2lowmg,0.987398875,0.060378431,0.030189216,0.891323318
33,inspi2,0.981731641,0.006047366,0.003023683,0.972108932
33,inspi2cip,0.923710858,0.011761795,0.005880898,0.904995217
33,inspi2hypoxic,1.00042796,0.010768161,0.005384081,0.983293412
33,inspi2lowmg,0.988651289,0.013173604,0.006586802,0.967689144
34,inspi2,0.982076253,0.004667261,0.002333631,0.974649599
34,inspi2cip,0.92742532,0.008911231,0.004455615,0.913245563
34,inspi2hypoxic,1.000840972,0.006930364,0.003465182,0.989813217
34,inspi2lowmg,1.010408313,0.021251481,0.01062574,0.976592465
35,inspi2,0.982118355,0.006417656,0.003208828,0.971906433
35,inspi2cip,0.942633809,0.028762859,0.01438143,0.896865681
35,inspi2hypoxic,1.003279257,0.00935324,0.00467662,0.988396166
35,inspi2lowmg,1.014054846,0.015879801,0.007939901,0.988786538
36,inspi2,0.982673243,0.005688816,0.002844408,0.973621068
36,inspi2cip,0.947216557,0.014450942,0.007225471,0.924221883
36,inspi2hypoxic,1.005780228,0.00343912,0.00171956,1.000307821
36,inspi2lowmg,1.030141366,0.025147436,0.012573718,0.990126184
37,inspi2,0.986860173,0.005413589,0.002706794,0.978245945
37,inspi2cip,0.948140152,0.012776399,0.0063882,0.92781005
37,inspi2hypoxic,1.010195509,0.008584011,0.004292006,0.996536431
37,inspi2lowmg,1.046006774,0.02386425,0.011932125,1.008033427
38,inspi2,0.988776796,0.012606015,0.006303007,0.968717813
38,inspi2cip,1.019810616,0.020969969,0.010484985,0.986442715
38,inspi2hypoxic,1.012462752,0.008071129,0.004035565,0.999619784
38,inspi2lowmg,1.061012404,0.015472184,0.007736092,1.036392706
39,inspi2,0.997387346,0.011808907,0.005904453,0.97859674
39,inspi2cip,1.065555473,0.01930576,0.00965288,1.034835699
39,inspi2hypoxic,1.013970661,0.007196768,0.003598384,1.002518997
39,inspi2lowmg,1.066370135,0.050216444,0.025108222,0.986464566
40,inspi2,1.000878123,0.008549088,0.004274544,0.987274615
40,inspi2cip,1.071074085,0.007904602,0.003952301,1.058496099
40,inspi2hypoxic,1.024829859,0.014742684,0.007371342,1.001370958
40,inspi2lowmg,1.127258101,0.076452669,0.038226334,1.005604844
41,inspi2,1.015841741,0.032304116,0.016152058,0.964438684
41,inspi2cip,1.185049925,0.088418717,0.044209358,1.044356015
41,inspi2hypoxic,1.036674031,0.007891273,0.003945636,1.024117255
41,inspi2lowmg,1.211413702,0.112812872,0.056406436,1.031903248
42,inspi2,1.050122535,0.009381833,0.004690916,1.035193945
42,inspi2cip,1.225920048,0.019541777,0.009770889,1.194824719
42,inspi2hypoxic,1.037036474,0.009837054,0.004918527,1.021383526
42,inspi2lowmg,1.223982271,0.103112038,0.051556019,1.059908008
43,inspi2,1.069151985,0.026112856,0.013056428,1.027600604
43,inspi2cip,1.260530882,0.100322093,0.050161046,1.100896045
43,inspi2hypoxic,1.037065043,0.004201516,0.002100758,1.030379493
43,inspi2lowmg,1.268538783,0.050033833,0.025016917,1.188923789
